  61.42710690 -115.73781211 
  71.42710690 -115.73770001 
  81.42710690 -115.73738936 
  91.42710690 -115.73695894 
 101.42710690 -115.73652488 
 111.42710690 -115.73621214 
 121.42710690 -115.73611427 
 131.42710690 -115.73625903 
 141.42710690 -115.73660081 
 151.42710690 -115.73703786 
 161.42710690 -115.73745061 
 171.42710690 -115.73773075 
 181.42710690 -115.73781005 
 191.42710690 -115.73766855 
 201.42710690 -115.73734090 
 211.42710690 -115.73690928 
 221.42710690 -115.73648776 
 231.42710690 -115.73619439 
 241.42710690 -115.73611731 
 251.42710690 -115.73628214 
 261.42710690 -115.73664081 
 271.42710690 -115.73708745 
 281.42710690 -115.73749520 
 291.42710690 -115.73775466 
 301.42710690 -115.73780287 
 311.42710690 -115.73763348 
 321.42710690 -115.73729161 
 331.42710690 -115.73686662 
 341.42710690 -115.73646785 
 351.42710690 -115.73619484 
 361.42710690 -115.73611690 
 371.42710690 -115.73625435 
 381.42710690 -115.73657300 
 391.42710690 -115.73699156 
 401.42710690 -115.73740305 
 411.42710690 -115.73770299 
