  61.42710690 -115.73805137 
  51.42710690 -115.73794169 
  41.42710690 -115.73764347 
  31.42710690 -115.73723402 
  21.42710690 -115.73681829 
  11.42710690 -115.73650162 
   1.42710690 -115.73636393 
  -8.57289310 -115.73644146 
 -18.57289310 -115.73671352 
 -28.57289310 -115.73711181 
 -38.57289310 -115.73753450 
 -48.57289310 -115.73787395 
 -58.57289310 -115.73804256 
 -68.57289310 -115.73799370 
 -78.57289310 -115.73773616 
 -88.57289310 -115.73733176 
 -98.57289310 -115.73688751 
 -108.57289310 -115.73653110 
 -118.57289310 -115.73636738 
 -128.57289310 -115.73644365 
 -138.57289310 -115.73673492 
 -148.57289310 -115.73715462 
 -158.57289310 -115.73758454 
 -168.57289310 -115.73790944 
 -178.57289310 -115.73804918 
 -188.57289310 -115.73796983 
 -198.57289310 -115.73769142 
 -208.57289310 -115.73728221 
 -218.57289310 -115.73684821 
 -228.57289310 -115.73650858 
 -238.57289310 -115.73636419 
 -248.57289310 -115.73646096 
 -258.57289310 -115.73677212 
 -268.57289310 -115.73720380 
 -278.57289310 -115.73763164 
 -288.57289310 -115.73793988 
