  61.42710690 -115.73781211 
  51.42710690 -115.73770196 
  41.42710690 -115.73740199 
  31.42710690 -115.73699011 
  21.42710690 -115.73657200 
  11.42710690 -115.73625361 
   1.42710690 -115.73611519 
  -8.57289310 -115.73619312 
 -18.57289310 -115.73646667 
 -28.57289310 -115.73686721 
 -38.57289310 -115.73729240 
 -48.57289310 -115.73763386 
 -58.57289310 -115.73780333 
 -68.57289310 -115.73775388 
 -78.57289310 -115.73749449 
 -88.57289310 -115.73708761 
 -98.57289310 -115.73664103 
 -108.57289310 -115.73628299 
 -118.57289310 -115.73611864 
 -128.57289310 -115.73619537 
 -138.57289310 -115.73648812 
 -148.57289310 -115.73691004 
 -158.57289310 -115.73734240 
 -168.57289310 -115.73766927 
 -178.57289310 -115.73780990 
 -188.57289310 -115.73773007 
 -198.57289310 -115.73744994 
 -208.57289310 -115.73703834 
 -218.57289310 -115.73660198 
 -228.57289310 -115.73626061 
 -238.57289310 -115.73611546 
 -248.57289310 -115.73621255 
 -258.57289310 -115.73652506 
 -268.57289310 -115.73695892 
 -278.57289310 -115.73738925 
 -288.57289310 -115.73769958 
